"County","Candidate Name","Party","Office Name","Office District","Winner","Write-In?","Early Voting Votes","Early Voting Votes Against","Election Day Votes","Election Day Votes Against","By Mail Votes","By Mail Votes Against","Prov. Votes","Prov. Votes Against","By Mail 2 Votes","By Mail 2 Votes Against","Total Votes","Total Votes Against"
"17","Other Write-Ins","NON","Board of Education     ","001","","Y","228","","70","","121","","48","","58","","525",""
"17","Shayla Adams-Stafford","NON","Board of Education     ","004","Y","","7468","","2548","","9201","","1389","","2908","","23514",""
"17","Bryan M. Swann","NON","Board of Education     ","004","","","3384","","1307","","5147","","605","","1341","","11784",""
"17","Other Write-Ins","NON","Board of Education     ","004","","Y","47","","29","","37","","5","","7","","125",""
"17","Raaheela Ahmed","NON","Board of Education     ","005","Y","","17395","","3612","","25512","","2549","","7562","","56630",""
"17","Other Write-Ins","NON","Board of Education     ","005","","Y","490","","160","","233","","59","","102","","1044",""
"17","Alexis Nicole Branch","NON","Board of Education     ","007","","","4980","","1730","","5373","","824","","2492","","15399",""
"17","Kenneth F. Harris, II","NON","Board of Education     ","007","Y","","8501","","2386","","11411","","1300","","3072","","26670",""
"17","Other Write-Ins","NON","Board of Education     ","007","","Y","67","","36","","29","","11","","10","","153",""
"17","Edward Burroughs, III","NON","Board of Education     ","008","Y","","11784","","3286","","16242","","1841","","4685","","37838",""
"17","Gary Lee Falls","NON","Board of Education     ","008","","","1875","","829","","2139","","280","","698","","5821",""
"17","Other Write-Ins","NON","Board of Education     ","008","","Y","200","","41","","53","","24","","24","","342",""
"18","Carla Lynn Knight","BOT","Judge of the Circuit Court","02","Y","","12111","","3530","","3259","","609","","2649","","22158",""
"18","Other Write-Ins","BOT","Judge of the Circuit Court","02","","Y","129","","47","","43","","6","","36","","261",""
"18","Richard Dick Smith","NON","Board of Education     ","002","Y","","10784","","3182","","2814","","534","","2344","","19658",""
"18","Other Write-Ins","NON","Board of Education     ","002","","Y","756","","218","","110","","28","","110","","1222",""
"18","Helen Bennett","NON","Board of Education     ","003","Y","Y","3335","","1215","","109","","107","","281","","5047",""
"18","Buffy Cromwell","NON","Board of Education     ","003","","Y","577","","138","","67","","22","","106","","910",""
"18","Pamela Turner-Tingle","NON","Board of Education     ","003","","Y","1490","","472","","452","","76","","460","","2950",""
"18","Other Write-Ins","NON","Board of Education     ","003","","Y","831","","182","","172","","36","","125","","1346",""
"18","Mark Anderson","NON","Board of Education     ","004","","Y","454","","100","","93","","12","","95","","754",""
"18","Sean Foley","NON","Board of Education     ","004","","Y","348","","113","","1","","13","","53","","528",""
"18","Nikki Kennedy","NON","Board of Education     ","004","","Y","1666","","501","","448","","96","","475","","3186",""
"18","Schif Schifanelli","NON","Board of Education     ","004","Y","Y","3003","","1037","","62","","84","","167","","4353",""
"18","Other Write-Ins","NON","Board of Education     ","004","","Y","591","","179","","124","","28","","114","","1036",""
"19","Joseph Michael Stanalonis","BOT","Judge of the Circuit Court","07","Y","","15758","","9688","","8418","","789","","7176","","41829",""
"19","Other Write-Ins","BOT","Judge of the Circuit Court","07","","Y","219","","110","","143","","13","","118","","603",""
"19","Cathy Allen","NON","Board of Education At Large","","Y","","13813","","8160","","8405","","669","","6926","","37973",""
"19","Deforest Rathbone","NON","Board of Education At Large","","","","3077","","2028","","1169","","177","","1078","","7529",""
"19","Other Write-Ins","NON","Board of Education At Large","","","Y","98","","77","","50","","8","","40","","273",""
"19","Jim Davis","NON","Board of Education     ","002","Y","","10170","","6106","","3748","","404","","3466","","23894",""
"19","Heather Marin Earhart","NON","Board of Education     ","002","","","6735","","4111","","5450","","444","","4245","","20985",""
"19","Other Write-Ins","NON","Board of Education     ","002","","Y","56","","54","","27","","10","","35","","182",""
"19","Mary M. Washington","NON","Board of Education     ","004","Y","","15211","","9269","","9239","","803","","7503","","42025",""
"19","Other Write-Ins","NON","Board of Education     ","004","","Y","267","","210","","71","","10","","97","","655",""
"20","Caleb Shores","NON","Board of Education     ","002","Y","","387","","184","","101","","29","","51","","752",""
"20","William Billy Walters","NON","Board of Education     ","002","","","328","","137","","94","","23","","50","","632",""
"20","Other Write-Ins","NON","Board of Education     ","002","","Y","4","","5","","1","","0","","0","","10",""
"20","Troy Brittingham, Jr.","NON","Board of Education     ","004","Y","","670","","327","","205","","40","","92","","1334",""
"20","Matthew Warren Lankford","NON","Board of Education     ","004","","","586","","228","","80","","21","","49","","964",""
"20","Other Write-Ins","NON","Board of Education     ","004","","Y","3","","4","","4","","1","","0","","12",""
"21","Candace Henry","NON","Board of Education     ","002","Y","","1313","","275","","656","","62","","360","","2666",""
"21","Other Write-Ins","NON","Board of Education     ","002","","Y","22","","7","","2","","0","","6","","37",""
"21","Susan Delean-Botkin","NON","Board of Education     ","005","Y","","1128","","302","","608","","49","","300","","2387",""
"21","Other Write-Ins","NON","Board of Education     ","005","","Y","27","","15","","10","","0","","17","","69",""
"21","Mary E. Wheeler","NON","Board of Education     ","006","Y","","1301","","295","","804","","52","","353","","2805",""
"21","Other Write-Ins","NON","Board of Education     ","006","","Y","24","","3","","13","","0","","6","","46",""
"22","Andrew F. Wilkinson","BOT","Judge of the Circuit Court","04","Y","","12067","","19108","","10589","","1263","","4266","","47293",""
"22","Other Write-Ins","BOT","Judge of the Circuit Court","04","","Y","137","","176","","93","","19","","68","","493",""
"22","Michael E. Barnes","NON","Mayor of Hagerstown","HG","","","1607","","2105","","937","","143","","291","","5083",""
"22","Emily Keller","NON","Mayor of Hagerstown","HG","Y","","1941","","2414","","2849","","336","","834","","8374",""
"22","Other Write-Ins","NON","Mayor of Hagerstown","HG","","Y","13","","32","","31","","2","","9","","87",""
"22","Kristin B. Aleshire","NON","Hagerstown Council","HG","Y","","1572","","2090","","1849","","206","","461","","6178",""
"22","Bob Bruchey","NON","Hagerstown Council","HG","Y","","1397","","1962","","995","","126","","290","","4770",""
"22","Tiara Burnett","NON","Hagerstown Council","HG","Y","","1756","","2013","","2099","","302","","670","","6840",""
"22","Brooke Grossman","NON","Hagerstown Council","HG","","","999","","1202","","1533","","149","","410","","4293",""
"22","Austin Heffernan","NON","Hagerstown Council","HG","","","1167","","1367","","903","","105","","275","","3817",""
"22","Tekesha A. Martinez","NON","Hagerstown Council","HG","Y","","1372","","1596","","1776","","271","","586","","5601",""
"22","Shelley McIntire","NON","Hagerstown Council","HG","Y","","1525","","1733","","1496","","155","","471","","5380",""
"22","Penny May Nigh","NON","Hagerstown Council","HG","","","986","","1318","","1301","","132","","287","","4024",""
"22","Peter E. Perini, Sr.","NON","Hagerstown Council","HG","","","1090","","1387","","1684","","161","","395","","4717",""
"22","Brenda J. Thiam","NON","Hagerstown Council","HG","","","1083","","1134","","1052","","137","","366","","3772",""
"22","Other Write-Ins","NON","Hagerstown Council","HG","","Y","56","","68","","44","","10","","24","","202",""
"22","Pieter Bickford","NON","Board of Education     ","","Y","","6231","","9028","","6883","","515","","2355","","25012",""
"22","William Bill Donahue","NON","Board of Education     ","","","","5388","","8977","","5324","","594","","2105","","22388",""
"22","Benjamin Forrest","NON","Board of Education     ","","","","4821","","7516","","4369","","499","","1847","","19052",""
"22","Ladetra Robinson","NON","Board of Education     ","","","","3589","","4317","","4917","","556","","1894","","15273",""
"22","Stan Stouffer","NON","Board of Education     ","","Y","","7437","","11920","","5069","","559","","2135","","27120",""
"22","Melissa Williams","NON","Board of Education     ","","Y","","7518","","10829","","6948","","785","","2588","","28668",""
"22","April A. Zentmeyer","NON","Board of Education     ","","Y","","6569","","9310","","5546","","600","","2262","","24287",""
"22","DARRELL EVANS","NON","Board of Education     ","","","Y","1082","","1441","","94","","33","","153","","2803",""
"22","Other Write-Ins","NON","Board of Education     ","","","Y","231","","303","","121","","19","","64","","738",""
"23","Nicole Acle","REP","County Council         ","002","Y","","2695","","2045","","640","","195","","463","","6038",""
"23","Alexander Scott","DEM","County Council         ","002","","","1922","","932","","1386","","279","","737","","5256",""
"23","Other Write-Ins","BOT","County Council         ","002","","Y","12","","4","","2","","2","","3","","23",""
"23","Tonya Laird Lewis","NON","Board of Education","003","Y","","3875","","1614","","1505","","388","","795","","8177",""
"23","Other Write-Ins","NON","Board of Education","003","","Y","86","","36","","33","","12","","19","","186",""
"24","Rodney K. Bailey","NON","Board of Education     ","002","","","375","","402","","91","","45","","199","","1112",""
"24","Donald C. Smack, Sr.","NON","Board of Education     ","002","Y","","639","","664","","126","","77","","357","","1863",""
"24","Other Write-Ins","NON","Board of Education     ","002","","Y","10","","8","","1","","3","","6","","28",""
"24","Jon Michael Andes","NON","Board of Education     ","003","Y","","1586","","601","","203","","84","","565","","3039",""
"24","Angie Phukan Chatelle","NON","Board of Education     ","003","","","505","","184","","114","","40","","250","","1093",""
"24","Other Write-Ins","NON","Board of Education     ","003","","Y","10","","3","","0","","0","","3","","16",""
"24","Elena McComas","NON","Board of Education     ","005","Y","","1974","","529","","478","","143","","996","","4120",""
"24","Other Write-Ins","NON","Board of Education     ","005","","Y","20","","13","","4","","1","","12","","50",""
